Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positive TCs,Chrome 142.0.0.0,,,2025-12-10 11:07:24,2025-12-10 11:08:49,"1m - 24,912s",PASSED
,,,,,,,
Test Cases/Positive/Success Login,Chrome 142.0.0.0,,,2025-12-10 11:07:25,2025-12-10 11:07:40,"15,430s",PASSED
"openBrowser("""")",Chrome 142.0.0.0,,,2025-12-10 11:07:25,2025-12-10 11:07:27,"2,562s",PASSED
"navigateToUrl(""saucedemo.com"")",Chrome 142.0.0.0,,,2025-12-10 11:07:27,2025-12-10 11:07:28,"0,938s",PASSED
maximizeWindow(),Chrome 142.0.0.0,,,2025-12-10 11:07:28,2025-12-10 11:07:28,"0,074s",PASSED
delay(5),Chrome 142.0.0.0,,,2025-12-10 11:07:28,2025-12-10 11:07:33,"5,021s",PASSED
"verifyElementPresent(findTestObject(""Login Page/input_username""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:07:33,2025-12-10 11:07:34,"0,186s",PASSED
"setText(findTestObject(""Login Page/input_username""), username)",Chrome 142.0.0.0,,,2025-12-10 11:07:34,2025-12-10 11:07:34,"0,337s",PASSED
"verifyElementPresent(findTestObject(""Login Page/input_password""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:07:34,2025-12-10 11:07:34,"0,077s",PASSED
"setText(findTestObject(""Login Page/input_password""), password)",Chrome 142.0.0.0,,,2025-12-10 11:07:34,2025-12-10 11:07:34,"0,275s",PASSED
"verifyElementPresent(findTestObject(""Login Page/btn_login""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:07:34,2025-12-10 11:07:34,"0,106s",PASSED
"enhancedClick(findTestObject(""Login Page/btn_login""), STOP_ON_FAILURE)",Chrome 142.0.0.0,,,2025-12-10 11:07:34,2025-12-10 11:07:35,"0,289s",PASSED
delay(5),Chrome 142.0.0.0,,,2025-12-10 11:07:35,2025-12-10 11:07:40,"5,003s",PASSED
"verifyElementPresent(findTestObject(""Products/lbl_products""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:07:40,2025-12-10 11:07:40,"0,071s",PASSED
takeScreenshot(),Chrome 142.0.0.0,,,2025-12-10 11:07:40,2025-12-10 11:07:40,"0,245s",PASSED
,,,,,,,
Test Cases/Positive/Success Login,Chrome 142.0.0.0,,,2025-12-10 11:07:40,2025-12-10 11:07:55,"14,742s",PASSED
"openBrowser("""")",Chrome 142.0.0.0,,,2025-12-10 11:07:40,2025-12-10 11:07:42,"2,154s",PASSED
"navigateToUrl(""saucedemo.com"")",Chrome 142.0.0.0,,,2025-12-10 11:07:42,2025-12-10 11:07:43,"0,995s",PASSED
maximizeWindow(),Chrome 142.0.0.0,,,2025-12-10 11:07:43,2025-12-10 11:07:43,"0,058s",PASSED
delay(5),Chrome 142.0.0.0,,,2025-12-10 11:07:43,2025-12-10 11:07:48,"5,013s",PASSED
"verifyElementPresent(findTestObject(""Login Page/input_username""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:07:48,2025-12-10 11:07:48,"0,161s",PASSED
"setText(findTestObject(""Login Page/input_username""), username)",Chrome 142.0.0.0,,,2025-12-10 11:07:48,2025-12-10 11:07:49,"0,336s",PASSED
"verifyElementPresent(findTestObject(""Login Page/input_password""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:07:49,2025-12-10 11:07:49,"0,111s",PASSED
"setText(findTestObject(""Login Page/input_password""), password)",Chrome 142.0.0.0,,,2025-12-10 11:07:49,2025-12-10 11:07:49,"0,311s",PASSED
"verifyElementPresent(findTestObject(""Login Page/btn_login""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:07:49,2025-12-10 11:07:49,"0,088s",PASSED
"enhancedClick(findTestObject(""Login Page/btn_login""), STOP_ON_FAILURE)",Chrome 142.0.0.0,,,2025-12-10 11:07:49,2025-12-10 11:07:49,"0,192s",PASSED
delay(5),Chrome 142.0.0.0,,,2025-12-10 11:07:49,2025-12-10 11:07:54,"5,013s",PASSED
"verifyElementPresent(findTestObject(""Products/lbl_products""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:07:54,2025-12-10 11:07:55,"0,074s",PASSED
takeScreenshot(),Chrome 142.0.0.0,,,2025-12-10 11:07:55,2025-12-10 11:07:55,"0,220s",PASSED
,,,,,,,
Test Cases/Positive/Success Logout,Chrome 142.0.0.0,,,2025-12-10 11:07:55,2025-12-10 11:08:49,"54,456s",PASSED
"callTestCase(findTestCase(""Positive/Success Login""), [""username"":""standard_user"", ""password"":""secret_sauce""], STOP_ON_FAILURE)",Chrome 142.0.0.0,,,2025-12-10 11:07:55,2025-12-10 11:08:09,"14,428s",PASSED
delay(3),Chrome 142.0.0.0,,,2025-12-10 11:08:09,2025-12-10 11:08:12,"3,008s",PASSED
"verifyElementPresent(findTestObject(""Products/btn_burgerMenu""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:08:12,2025-12-10 11:08:12,"0,064s",PASSED
"enhancedClick(findTestObject(""Products/btn_burgerMenu""), STOP_ON_FAILURE)",Chrome 142.0.0.0,,,2025-12-10 11:08:12,2025-12-10 11:08:13,"0,183s",PASSED
delay(3),Chrome 142.0.0.0,,,2025-12-10 11:08:13,2025-12-10 11:08:16,"3,016s",PASSED
"verifyElementPresent(findTestObject(""Products/btn_logout""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:08:16,2025-12-10 11:08:16,"0,063s",PASSED
"enhancedClick(findTestObject(""Products/btn_logout""), STOP_ON_FAILURE)",Chrome 142.0.0.0,,,2025-12-10 11:08:16,2025-12-10 11:08:46,"30,278s",PASSED
delay(3),Chrome 142.0.0.0,,,2025-12-10 11:08:46,2025-12-10 11:08:49,"3,017s",PASSED
"verifyElementPresent(findTestObject(""Login Page/btn_login""), 0)",Chrome 142.0.0.0,,,2025-12-10 11:08:49,2025-12-10 11:08:49,"0,064s",PASSED
takeScreenshot(),Chrome 142.0.0.0,,,2025-12-10 11:08:49,2025-12-10 11:08:49,"0,098s",PASSED
